time,north_sea_m_s,baltic_sea_m_s
2019-01-01 00:00,12.473,15.734
2019-01-01 01:00,12.638,15.935
2019-01-01 02:00,12.992,16.405
2019-01-01 03:00,13.023,16.453
2019-01-01 04:00,12.89,16.31
2019-01-01 05:00,13.239,16.824
2019-01-01 06:00,13.949,17.791
2019-01-01 07:00,14.164,18.017
2019-01-01 08:00,14.24,18.114
2019-01-01 09:00,14.295,18.171
2019-01-01 10:00,14.506,18.48
2019-01-01 11:00,14.918,19.001
2019-01-01 12:00,15.433,19.675
2019-01-01 13:00,15.968,20.43
2019-01-01 14:00,16.36,20.923
2019-01-01 15:00,16.666,21.28
2019-01-01 16:00,16.649,21.232
2019-01-01 17:00,16.661,21.241
2019-01-01 18:00,16.736,21.358
2019-01-01 19:00,16.728,21.389
2019-01-01 20:00,16.675,21.351
2019-01-01 21:00,16.62,21.284
2019-01-01 22:00,16.441,21.046
2019-01-01 23:00,16.189,20.695
2019-01-02 00:00,15.806,20.163
2019-01-02 01:00,15.276,19.414
2019-01-02 02:00,14.814,18.698
2019-01-02 03:00,14.357,18.035
2019-01-02 04:00,13.793,17.275
2019-01-02 05:00,13.327,16.677
2019-01-02 06:00,12.986,16.227
2019-01-02 07:00,12.301,15.286
2019-01-02 08:00,11.454,14.136
2019-01-02 09:00,10.663,13.024
2019-01-02 10:00,10.024,12.149
2019-01-02 11:00,9.603,11.566
2019-01-02 12:00,9.281,11.126
2019-01-02 13:00,8.921,10.667
2019-01-02 14:00,8.561,10.24
2019-01-02 15:00,8.208,9.793
2019-01-02 16:00,7.884,9.358
2019-01-02 17:00,7.637,9.021
2019-01-02 18:00,7.484,8.808
2019-01-02 19:00,7.436,8.738
2019-01-02 20:00,7.452,8.749
2019-01-02 21:00,7.502,8.808
2019-01-02 22:00,7.628,8.972
2019-01-02 23:00,7.772,9.16
2019-01-03 00:00,7.922,9.368
2019-01-03 01:00,8.027,9.518
2019-01-03 02:00,8.074,9.587
2019-01-03 03:00,8.088,9.614
2019-01-03 04:00,8.188,9.762
2019-01-03 05:00,8.2,9.772
2019-01-03 06:00,8.071,9.587
2019-01-03 07:00,7.828,9.247
2019-01-03 08:00,7.474,8.754
2019-01-03 09:00,7.223,8.394
2019-01-03 10:00,7.078,8.151
2019-01-03 11:00,6.961,7.98
2019-01-03 12:00,6.727,7.698
2019-01-03 13:00,6.532,7.505
2019-01-03 14:00,6.489,7.516
2019-01-03 15:00,6.505,7.57
2019-01-03 16:00,6.326,7.381
2019-01-03 17:00,5.751,6.684
2019-01-03 18:00,5.441,6.327
2019-01-03 19:00,5.882,6.969
2019-01-03 20:00,6.223,7.512
2019-01-03 21:00,6.327,7.727
2019-01-03 22:00,6.449,7.905
2019-01-03 23:00,6.807,8.37
2019-01-04 00:00,7.325,9.04
2019-01-04 01:00,7.776,9.609
2019-01-04 02:00,8.363,10.32
2019-01-04 03:00,9.186,11.31
2019-01-04 04:00,9.941,12.211
2019-01-04 05:00,10.389,12.715
2019-01-04 06:00,10.566,12.949
2019-01-04 07:00,10.658,13.087
2019-01-04 08:00,10.6,13.011
2019-01-04 09:00,10.498,12.889
2019-01-04 10:00,10.533,12.942
2019-01-04 11:00,10.585,13.042
2019-01-04 12:00,10.604,13.117
2019-01-04 13:00,10.462,12.991
2019-01-04 14:00,10.224,12.747
2019-01-04 15:00,10.239,12.84
2019-01-04 16:00,10.308,12.965
2019-01-04 17:00,10.294,12.958
2019-01-04 18:00,10.409,13.085
2019-01-04 19:00,10.655,13.37
2019-01-04 20:00,11.055,13.867
2019-01-04 21:00,11.457,14.445
2019-01-04 22:00,11.778,14.92
2019-01-04 23:00,12.155,15.425
2019-01-05 00:00,12.573,15.967
2019-01-05 01:00,13.042,16.589
2019-01-05 02:00,13.395,17.017
2019-01-05 03:00,13.432,17.101
2019-01-05 04:00,13.293,16.94
2019-01-05 05:00,13.059,16.651
2019-01-05 06:00,12.761,16.263
2019-01-05 07:00,12.421,15.815
2019-01-05 08:00,12.026,15.283
2019-01-05 09:00,11.483,14.526
2019-01-05 10:00,10.943,13.797
2019-01-05 11:00,10.357,13.037
2019-01-05 12:00,9.997,12.632
2019-01-05 13:00,9.625,12.154
2019-01-05 14:00,9.229,11.695
2019-01-05 15:00,8.806,11.193
2019-01-05 16:00,8.475,10.809
2019-01-05 17:00,8.043,10.328
2019-01-05 18:00,7.831,10.107
2019-01-05 19:00,7.809,10.102
2019-01-05 20:00,7.881,10.186
2019-01-05 21:00,7.957,10.278
2019-01-05 22:00,8.102,10.431
2019-01-05 23:00,8.31,10.659
2019-01-06 00:00,8.399,10.73
2019-01-06 01:00,8.378,10.678
2019-01-06 02:00,8.274,10.548
2019-01-06 03:00,8.161,10.396
2019-01-06 04:00,8.011,10.247
2019-01-06 05:00,7.854,10.078
2019-01-06 06:00,7.596,9.817
2019-01-06 07:00,7.594,9.818
2019-01-06 08:00,7.605,9.835
2019-01-06 09:00,7.365,9.514
2019-01-06 10:00,7.185,9.247
2019-01-06 11:00,7.191,9.206
2019-01-06 12:00,7.373,9.361
2019-01-06 13:00,7.587,9.551
2019-01-06 14:00,7.728,9.7
2019-01-06 15:00,7.84,9.872
2019-01-06 16:00,7.878,9.97
2019-01-06 17:00,7.583,9.699
2019-01-06 18:00,7.217,9.331
2019-01-06 19:00,7.296,9.44
2019-01-06 20:00,7.62,9.779
2019-01-06 21:00,7.741,9.877
2019-01-06 22:00,7.679,9.787
2019-01-06 23:00,7.954,10.09
2019-01-07 00:00,8.191,10.363
2019-01-07 01:00,8.376,10.592
2019-01-07 02:00,8.159,10.354
2019-01-07 03:00,7.827,9.924
2019-01-07 04:00,7.451,9.367
2019-01-07 05:00,7.18,8.98
2019-01-07 06:00,6.964,8.678
2019-01-07 07:00,6.685,8.323
2019-01-07 08:00,6.698,8.334
2019-01-07 09:00,6.697,8.339
2019-01-07 10:00,7.226,9.042
2019-01-07 11:00,8.274,10.367
2019-01-07 12:00,9.521,11.93
2019-01-07 13:00,10.406,13.066
2019-01-07 14:00,10.841,13.491
2019-01-07 15:00,10.748,13.234
2019-01-07 16:00,11.415,14.091
2019-01-07 17:00,11.988,14.88
2019-01-07 18:00,12.909,16.348
2019-01-07 19:00,13.026,16.605
2019-01-07 20:00,12.923,16.477
2019-01-07 21:00,12.728,16.153
2019-01-07 22:00,13.018,16.56
2019-01-07 23:00,13.902,17.707
2019-01-08 00:00,14.483,18.487
2019-01-08 01:00,15.169,19.392
2019-01-08 02:00,15.724,20.155
2019-01-08 03:00,16.434,21.044
2019-01-08 04:00,17.116,21.891
2019-01-08 05:00,17.208,22.019
2019-01-08 06:00,16.58,21.257
2019-01-08 07:00,15.869,20.415
2019-01-08 08:00,15.344,19.665
2019-01-08 09:00,15.287,19.496
2019-01-08 10:00,15.528,19.836
2019-01-08 11:00,15.84,20.226
2019-01-08 12:00,15.948,20.315
2019-01-08 13:00,15.671,19.879
2019-01-08 14:00,15.042,19.059
2019-01-08 15:00,14.601,18.403
2019-01-08 16:00,14.373,18.058
2019-01-08 17:00,14.259,17.95
2019-01-08 18:00,14.269,18.008
2019-01-08 19:00,14.06,17.723
2019-01-08 20:00,13.737,17.266
2019-01-08 21:00,13.542,17.018
2019-01-08 22:00,13.479,16.936
2019-01-08 23:00,13.477,16.935
2019-01-09 00:00,13.386,16.813
2019-01-09 01:00,13.223,16.578
2019-01-09 02:00,13.077,16.347
2019-01-09 03:00,13,16.253
2019-01-09 04:00,13.083,16.345
2019-01-09 05:00,13.087,16.288
2019-01-09 06:00,13.06,16.204
2019-01-09 07:00,13.165,16.309
2019-01-09 08:00,13.233,16.372
2019-01-09 09:00,13.206,16.301
2019-01-09 10:00,13.156,16.193
2019-01-09 11:00,12.958,15.896
2019-01-09 12:00,12.698,15.529
2019-01-09 13:00,12.466,15.231
2019-01-09 14:00,12.087,14.745
2019-01-09 15:00,11.747,14.299
2019-01-09 16:00,11.508,13.957
2019-01-09 17:00,11.214,13.561
2019-01-09 18:00,10.818,13.02
2019-01-09 19:00,10.312,12.339
2019-01-09 20:00,9.953,11.838
2019-01-09 21:00,9.384,11.081
2019-01-09 22:00,8.854,10.375
2019-01-09 23:00,8.28,9.624
2019-01-10 00:00,7.721,8.9
2019-01-10 01:00,7.331,8.401
2019-01-10 02:00,7.118,8.135
2019-01-10 03:00,6.794,7.734
2019-01-10 04:00,6.489,7.366
